Track	Url_img	Album	Speechiness	Acousticness	Liveness	Valence	Energy	Link
GIRLS LIKE US	https://i.scdn.co/image/ab67616d0000b273ff7c2dfd0ed9b2cf6bf9c818	Fancy You	0.0696	0.0457	0.379	0.699	0.695	https://open.spotify.com/track/2mJAZlRKj2egyDPuOgSaFz
GO HARD	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.0449	0.296	0.0999	0.509	0.852	https://open.spotify.com/track/5uZ5VUoj2al8GttE421bTD
GOING CRAZY	https://i.scdn.co/image/ab67616d0000b273ce17f432c79c5e45ce88688f	The Story Begins	0.204	0.0137	0.653	0.585	0.94	https://open.spotify.com/track/3TRi1libbp5FZqLauR04M6
GONE	https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340	Between 1&2	0.0755	0.327	0.0576	0.836	0.799	https://open.spotify.com/track/0tTotZHPsxyjW3jqNJ1td2
GOOD AT LOVE	https://i.scdn.co/image/ab67616d0000b273579e945923463492cb43a5ce	Perfect World	0.0568	0.0513	0.117	0.37	0.684	https://open.spotify.com/track/4rZ6LHapeH1Cnxgvu8SrFK
GOT THE THRILLS	https://i.scdn.co/image/ab67616d0000b27359f57a5ca507a3d3fed81ea6	Ready To Be	0.121	0.21	0.202	0.73	0.924	https://open.spotify.com/track/1RVsbqAP1WFFXPiBXQYIah
HANDLE IT	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.262	0.533	0.0898	0.69	0.574	https://open.spotify.com/track/2laLdXRHMaHCuqr3DXgzhZ
HAPPY HAPPY	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.145	0.173	0.396	0.755	0.932	https://open.spotify.com/track/5kOyJuMFfRjgqC0lsirIHU
HARE HARE	https://i.scdn.co/image/ab67616d0000b27386220f35cd24a014c70d0e55	Hare Hare	0.0642	0.171	0.176	0.758	0.83	https://open.spotify.com/track/3QcJghvqRS17RoPPP0C2sp
HEART SHAKER	https://i.scdn.co/image/ab67616d0000b273f0d00e054e9a9cb2e86cdf72	Merry & Happy	0.0647	0.105	0.154	0.857	0.944	https://open.spotify.com/track/52FCAZn0YEkZfF0BtiAUMW
HELL IN HEAVEN	https://i.scdn.co/image/ab67616d0000b2736570fd05bcff5edcb16e617d	Eyes Wide Open	0.0604	0.182	0.107	0.694	0.81	https://open.spotify.com/track/3KCreWc88InXH3XuL54C5a
HELLO (NAYEON, MOMO, CHAEYOUNG)	https://i.scdn.co/image/ab67616d0000b273d1961ecb307c9e05ec8f7e82	Formula Of Love: O+T=<3	0.122	0.0363	0.057	0.544	0.638	https://open.spotify.com/track/1bXM8imxd31qCecbHgSk9E
HO!	https://i.scdn.co/image/ab67616d0000b27340d7efd2594a2b6bda60ea18	Summer Nights	0.0979	0.105	0.0242	0.974	0.895	https://open.spotify.com/track/6d09hmOY2gDw4G3Q6ycwvs
HOLD ME TIGHT	https://i.scdn.co/image/ab67616d0000b273d07e49e3e5a8e79903713354	Signal	0.11	0.266	0.413	0.697	0.955	https://open.spotify.com/track/6ZqcC24vsQKxMN6r4vaOX7
HOT	https://i.scdn.co/image/ab67616d0000b273ff7c2dfd0ed9b2cf6bf9c818	Fancy You	0.0714	0.00749	0.0175	0.766	0.571	https://open.spotify.com/track/5Tfp6aW5UTGvul246N5aS0
HOW U DOIN'	https://i.scdn.co/image/ab67616d0000b27329e7568dbd16f270b3d96db4	&Twice (Repackage)	0.0463	0.0237	0.0541	0.43	0.745	https://open.spotify.com/track/1jHsjW9fFBwPakQdGWDJF2
